ID,category,video_title_length,likes,views,post_date,channel_url,channel_name,video_url,Viral
47,Comedy,94,14554,4984227,29-Jun-24,https://www.youtube.com/@BidikFunTv,Bidik Fun Tv,https://www.youtube.com/watch?v=pmu0oGiJuXs,1
48,Comedy,82,342,51788,18-Jul-24,https://www.youtube.com/@etvcomedyjunction,ETV Comedy Junction,https://www.youtube.com/watch?v=hlONeAGa-II,0
49,Comedy,51,1847,207254,16-Jul-24,https://www.youtube.com/@amfilmproductionbydeepakdeewan,AM FILM PRODUCTION BY DEEPAK DEEWANA,https://www.youtube.com/watch?v=WUGPzthjgIk,1
50,Comedy,55,,35048298,26-Feb-24,https://www.youtube.com/@A.K.G.A_Gaming,A.K.G.A Gaming,https://www.youtube.com/watch?v=uf-9SJ9i3hw,1
51,Comedy,87,13300,5716726,4-Jul-24,https://www.youtube.com/@ourfuntv0,Our Fun Tv,https://www.youtube.com/watch?v=Cp4YkrECV-E,1
52,Comedy,77,7593,331866,18-Jul-24,https://www.youtube.com/@udaydoctorofficial.,Uday Doctor Official,https://www.youtube.com/watch?v=elwJi9xszEU,0
53,Comedy,52,2967,54502,18-Jul-24,https://www.youtube.com/@MarwadiMastiFamily,Marwadi Masti Family,https://www.youtube.com/watch?v=_6NtUIX3DWs,0
54,Comedy,101,334,54733,18-Jul-24,https://www.youtube.com/@deepika_choudhary,?????? ?????,https://www.youtube.com/watch?v=9T7sQwvgBG8,0
55,Comedy,103,302,43326,14-Jul-24,https://www.youtube.com/@deepika_choudhary,?????? ?????,https://www.youtube.com/watch?v=gp7sjfv7Gcs,1
56,Tutorials,43,129806,9851853,15-Jan-18,https://www.youtube.com/@TutorialsPoint_,TutorialsPoint,https://www.youtube.com/watch?v=Jwo5Ae7tH_I,0
57,Tutorials,93,61231,4931594,20-Oct-19,https://www.youtube.com/@edurekaIN,edureka!,https://www.youtube.com/watch?v=k1RI5locZE4,1
58,Tutorials,58,105480,8020099,6-Nov-20,https://www.youtube.com/@TechWorldwithNana,TechWorld with Nana,https://www.youtube.com/watch?v=X48VuDVv0do,1
59,Tutorials,90,18021,4688386,Streamed live on 9 Aug 2022,https://www.youtube.com/@YummyCookies,Yummy Cookies,https://www.youtube.com/watch?v=J8kYc33krys,0
60,Tutorials,39,9863,374480,28-Apr-20,https://www.youtube.com/@rinmelo2014,Rin'Melo,https://www.youtube.com/watch?v=aro5Iw4vxQM,0
61,Tutorials,26,190067,11044187,6-Aug-20,https://www.youtube.com/@DenitslavaMakeup,Denitslava Makeup,https://www.youtube.com/watch?v=nf8ySuesAPg,1
62,Tutorials,33,23560,1225896,23-May-22,https://www.youtube.com/@programmingwithmosh,Programming with Mosh,https://www.youtube.com/watch?v=d56mG7DezGs,0
